"ADDITIONAL COSPONSORS; Congressional Record Vol. 141, No. 148",https://www.congress.gov/congressional-record/volume-141/issue-148/senate-section/article/S14087-4,09/21/1995,,141,148,S14087
"Text of Senate Amendment 2948; Congressional Record Vol. 164, No. 102",https://www.congress.gov/congressional-record/volume-164/issue-102/senate-section/article/S4045-6,06/19/2018,,164,102,S4045
"RECOGNIZING PRICILLA CRUZ-SEADO; Congressional Record Vol. 171, No. 94",https://www.congress.gov/congressional-record/volume-171/issue-94/extensions-of-remarks-section/article/E511-2,06/03/2025,,171,94,E511
"RECOGNIZING PRICILLA CRUZ-SEADO; Congressional Record Vol. 171, No. 86",https://www.congress.gov/congressional-record/volume-171/issue-86/extensions-of-remarks-section/article/E466-2,05/21/2025,,171,86,E466
"RECOGNIZING KRYSTAL MARTINEZ; Congressional Record Vol. 171, No. 80",https://www.congress.gov/congressional-record/volume-171/issue-80/extensions-of-remarks-section/article/E417-1,05/13/2025,,171,80,E417
"RECOGNIZING DANIEL FLORES; Congressional Record Vol. 171, No. 70",https://www.congress.gov/congressional-record/volume-171/issue-70/extensions-of-remarks-section/article/E351-3,04/28/2025,,171,70,E351
"RECOGNIZING CAROL SMITH; Congressional Record Vol. 171, No. 69",https://www.congress.gov/congressional-record/volume-171/issue-69/extensions-of-remarks-section/article/E339-5,04/24/2025,,171,69,E339
"TRIBUTE TO GERALDINE CLAWSON; Congressional Record Vol. 144, No. 36",https://www.congress.gov/congressional-record/volume-144/issue-36/extensions-of-remarks-section/article/E493-1,03/26/1998,,144,36,E493
"TEXT OF AMENDMENTS; Congressional Record Vol. 154, No. 90",https://www.congress.gov/congressional-record/volume-154/issue-90/senate-section/article/S4974-2,06/03/2008,,154,90,S4974
"ADDITIONAL STATEMENTS; Congressional Record Vol. 161, No. 10",https://www.congress.gov/congressional-record/volume-161/issue-10/senate-section/article/S342-1,01/21/2015,,161,10,S342
"ZACHARY MARCOLINA; Congressional Record Vol. 166, No. 134",https://www.congress.gov/congressional-record/volume-166/issue-134/extensions-of-remarks-section/article/E693-4,07/29/2020,,166,134,E693
"PUBLIC HOUSING IMPERATIVES; Congressional Record Vol. 163, No. 182",https://www.congress.gov/congressional-record/volume-163/issue-182/house-section/article/H8647-4,11/08/2017,,163,182,H8647
"Introductory Statement on S. 1996; Congressional Record Vol. 144, No. 49",https://www.congress.gov/congressional-record/volume-144/issue-49/senate-section/article/S3715-3,04/28/1998,,144,49,S3715
"PROVIDING FOR CONSIDERATION OF H.R. 4635, DEPARTMENTS OF VETERANS AFFAIRS AND HOUSING AND URBAN DEVELOPMENT, AND INDEPENDENT AGENCIES APPROPRIATIONS ACT, 2001; Congressional Record Vol. 146, No. 75",https://www.congress.gov/congressional-record/volume-146/issue-75/house-section/article/H4489-5,06/15/2000,,146,75,H4489
"Text of Senate Amendment 2533; Congressional Record Vol. 166, No. 138",https://www.congress.gov/congressional-record/volume-166/issue-138/senate-section/article/S4809-1,08/04/2020,,166,138,S4809
"NEW FUNDS FOR FAMILY UNIFICATION PROGRAM; Congressional Record Vol. 164, No. 189",https://www.congress.gov/congressional-record/volume-164/issue-189/extensions-of-remarks-section/article/E1589-1,11/30/2018,,164,189,E1589
"ACKNOWLEDGE THE CONTRIBUTIONS OF STAND DOWN HOUSE; Congressional Record Vol. 154, No. 112",https://www.congress.gov/congressional-record/volume-154/issue-112/house-section/article/H6236-5,07/09/2008,,154,112,H6236
"CONGRATULATIONS TO JERRY BELL; Congressional Record Vol. 145, No. 47",https://www.congress.gov/congressional-record/volume-145/issue-47/extensions-of-remarks-section/article/E538-2,03/24/1999,,145,47,E538
"HONORING AMERICA'S VETERANS AND CARING FOR CAMP LEJEUNE FAMILIES ACT OF 2012; Congressional Record Vol. 158, No. 115",https://www.congress.gov/congressional-record/volume-158/issue-115/house-section/article/H5416-1,07/31/2012,,158,115,H5416
,https://www.congress.gov/bound-congressional-record/1987/03/18/133/senate-section/article/6005-6146,03/18/1987,,133,,6005-6146
"WE NEED A RESET; Congressional Record Vol. 165, No. 146",https://www.congress.gov/congressional-record/volume-165/issue-146/house-section/article/H7670-3,09/12/2019,,165,146,H7670
"THE NATIONAL DEFENSE AUTHORIZATION ACT FOR FISCAL YEAR 1996; Congressional Record Vol. 141, No. 130",https://www.congress.gov/congressional-record/volume-141/issue-130/senate-section/article/S11635-1,08/05/1995,,141,130,S11635
"RECOGNIZING FELICIA JONES; Congressional Record Vol. 171, No. 74",https://www.congress.gov/congressional-record/volume-171/issue-74/extensions-of-remarks-section/article/E385-1,05/05/2025,,171,74,E385
"PRIVILEGES OF THE FLOOR; Congressional Record Vol. 169, No. 196",https://www.congress.gov/congressional-record/volume-169/issue-196/senate-section/article/S5676-5,11/29/2023,,169,196,S5676
"HONORING REGINA DARDEN FOR RECEIVING THE TIDEWATER CHAPTER HUMANITARIAN AWARD; Congressional Record Vol. 165, No. 45",https://www.congress.gov/congressional-record/volume-165/issue-45/extensions-of-remarks-section/article/E297-4,03/13/2019,,165,45,E297
"Text of Senate Amendment 2862; Congressional Record Vol. 161, No. 171",https://www.congress.gov/congressional-record/volume-161/issue-171/senate-section/article/S8168-7,11/19/2015,,161,171,S8168
"COMMEMORATING GROUNDBREAKING FOR APSAALOOKE WARRIORS APARTMENT COMPLEX; Congressional Record Vol. 160, No. 69",https://www.congress.gov/congressional-record/volume-160/issue-69/house-section/article/H3948-1,05/08/2014,,160,69,H3948
"JOSHUA'S HEART FOUNDATION; Congressional Record Vol. 156, No. 75",https://www.congress.gov/congressional-record/volume-156/issue-75/house-section/article/H3514-3,05/18/2010,,156,75,H3514
"THE DEMOCRAT PARTY: THE PARTY OF ""OWE""; Congressional Record Vol. 155, No. 46",https://www.congress.gov/congressional-record/volume-155/issue-46/house-section/article/H3449-2,03/17/2009,,155,46,H3449
"CONGRATULATING HILL'S ANGELS; Congressional Record Vol. 154, No. 65",https://www.congress.gov/congressional-record/volume-154/issue-65/house-section/article/H2597-1,04/23/2008,,154,65,H2597
"INTRODUCTION OF BILLS AND JOINT RESOLUTIONS; Congressional Record Vol. 168, No. 107",https://www.congress.gov/congressional-record/volume-168/issue-107/senate-section/article/S3159-1,06/23/2022,,168,107,S3159
"STATE OF THE UNION ESSAY CONTEST FINALISTS; Congressional Record Vol. 163, No. 13",https://www.congress.gov/congressional-record/volume-163/issue-13/senate-section/article/S438-4,01/24/2017,,163,13,S438
"ADDITIONAL COSPONSORS; Congressional Record Vol. 156, No. 103",https://www.congress.gov/congressional-record/volume-156/issue-103/senate-section/article/S5786-3,07/13/2010,,156,103,S5786
"ADDITIONAL COSPONSORS; Congressional Record Vol. 155, No. 167",https://www.congress.gov/congressional-record/volume-155/issue-167/senate-section/article/S11290-4,11/09/2009,,155,167,S11290
"MIAMI-DADE TEACHER OF THE YEAR MYRNA BETANCOURT; Congressional Record Vol. 160, No. 24",https://www.congress.gov/congressional-record/volume-160/issue-24/house-section/article/H1701-2,02/10/2014,,160,24,H1701
"INTRODUCTION OF THE ``PREVENTION OF TRAFFICKING OF TSUNAMI ORPHANS ACT''; Congressional Record Vol. 151, No. 19",https://www.congress.gov/congressional-record/volume-151/issue-19/extensions-of-remarks-section/article/E281-2,02/18/2005,,151,19,E281
"Text of Senate Amendment 4671; Congressional Record Vol. 156, No. 132",https://www.congress.gov/congressional-record/volume-156/issue-132/senate-section/article/S7640-3,09/28/2010,,156,132,S7640
"MIDDLE CLASS HEALTH BENEFITS TAX REPEAL ACT OF 2019; Congressional Record Vol. 166, No. 63",https://www.congress.gov/congressional-record/volume-166/issue-63/extensions-of-remarks-section/article/E339-1,03/31/2020,,166,63,E339
"EXPRESSING SOLIDARITY WITH EL SALVADOR; Congressional Record Vol. 155, No. 183",https://www.congress.gov/congressional-record/volume-155/issue-183/house-section/article/H13567-1,12/08/2009,,155,183,H13567
"ADDITIONAL COSPONSORS; Congressional Record Vol. 155, No. 148",https://www.congress.gov/congressional-record/volume-155/issue-148/senate-section/article/S10434-4,10/14/2009,,155,148,S10434
,https://www.congress.gov/bound-congressional-record/1992/08/05/138/house-section/article/21480-21632,08/05/1992,,138,,21480-21632
"HONORING STACEY BUCKNER FOR RECEIVING THE TOM MILLER ADVOCACY AWARD; Congressional Record Vol. 170, No. 121",https://www.congress.gov/congressional-record/volume-170/issue-121/extensions-of-remarks-section/article/E772-3,07/25/2024,,170,121,E772
"Text of Senate Amendment 3032; Congressional Record Vol. 164, No. 103",https://www.congress.gov/congressional-record/volume-164/issue-103/senate-section/article/S4290-3,06/20/2018,,164,103,S4290
"RECOGNIZING GEORGIA MJARTAN; Congressional Record Vol. 163, No. 143",https://www.congress.gov/congressional-record/volume-163/issue-143/house-section/article/H6659-6,09/06/2017,,163,143,H6659
"TRIBUTE TO PINELLAS COUNTY HOUSING AUTHORITY; Congressional Record Vol. 162, No. 109",https://www.congress.gov/congressional-record/volume-162/issue-109/extensions-of-remarks-section/article/E1054-2,07/07/2016,,162,109,E1054
"TERRORIST ATTACKS IN PARIS; Congressional Record Vol. 161, No. 169",https://www.congress.gov/congressional-record/volume-161/issue-169/house-section/article/H8252-3,11/17/2015,,161,169,H8252
"SEQUESTRATION AND THE DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT; Congressional Record Vol. 159, No. 73",https://www.congress.gov/congressional-record/volume-159/issue-73/house-section/article/H2849-6,05/22/2013,,159,73,H2849
"RECOGNIZING SWEET MISS GIVING'S; Congressional Record Vol. 155, No. 113",https://www.congress.gov/congressional-record/volume-155/issue-113/extensions-of-remarks-section/article/E2001-2,07/24/2009,,155,113,E2001
"COMMERCE, JUSTICE, SCIENCE, AND RELATED AGENCIES APPROPRIATIONS ACT, 2020; Congressional Record Vol. 165, No. 106",https://www.congress.gov/congressional-record/volume-165/issue-106/house-section/article/H5047-2,06/24/2019,,165,106,H5047
"TEXT OF AMENDMENTS; Congressional Record Vol. 162, No. 88",https://www.congress.gov/congressional-record/volume-162/issue-88/senate-section/article/S3416-1,06/06/2016,,162,88,S3416
"TRIBUTE TO SISTER THERESA SULLIVAN AND RECOGNIZING THE MACON DAYBREAK DAY RESOURCE CENTER TEAM; Congressional Record Vol. 169, No. 63",https://www.congress.gov/congressional-record/volume-169/issue-63/senate-section/article/S1132-5,04/17/2023,,169,63,S1132
"PRAISING DONARI JOY MOSBY; Congressional Record Vol. 166, No. 19",https://www.congress.gov/congressional-record/volume-166/issue-19/house-section/article/H644-8,01/29/2020,,166,19,H644
"HONORING THE OPENING OF THE ULSTER COUNTY PATRIOTS PROJECT; Congressional Record Vol. 160, No. 89",https://www.congress.gov/congressional-record/volume-160/issue-89/extensions-of-remarks-section/article/E941-1,06/10/2014,,160,89,E941
"IN RECOGNITION OF MERRILL BLUM; Congressional Record Vol. 160, No. 23",https://www.congress.gov/congressional-record/volume-160/issue-23/extensions-of-remarks-section/article/E180-3,02/06/2014,,160,23,E180
"JUSTICE FOR VICTIMS OF TRAFFICKING ACT OF 2015--Continued; Congressional Record Vol. 161, No. 40",https://www.congress.gov/congressional-record/volume-161/issue-40/senate-section/article/S1366-2,03/10/2015,,161,40,S1366
"STATEMENTS ON INTRODUCED BILLS AND JOINT RESOLUTIONS; Congressional Record Vol. 145, No. 60",https://www.congress.gov/congressional-record/volume-145/issue-60/senate-section/article/S4433-2,04/29/1999,,145,60,S4433
"Text of Senate Amendment 1701; Congressional Record Vol. 171, No. 60",https://www.congress.gov/congressional-record/volume-171/issue-60/senate-section/article/S2248-5,04/03/2025,,171,60,S2248
"ZACHARY HAMILTON EARNS EAGLE SCOUT RANK; Congressional Record Vol. 167, No. 59",https://www.congress.gov/congressional-record/volume-167/issue-59/extensions-of-remarks-section/article/E336-3,04/01/2021,,167,59,E336
"Text of Senate Amendment 180; Congressional Record Vol. 167, No. 20",https://www.congress.gov/congressional-record/volume-167/issue-20/senate-section/article/S351-6,02/03/2021,,167,20,S351
"WILL KELLER, MOLINA HEALTHCARE COMMUNITY CHAMPION; Congressional Record Vol. 164, No. 170",https://www.congress.gov/congressional-record/volume-164/issue-170/extensions-of-remarks-section/article/E1402-1,10/12/2018,,164,170,E1402
"CONGRATULATING MIAMI BRIDGE; Congressional Record Vol. 164, No. 116",https://www.congress.gov/congressional-record/volume-164/issue-116/house-section/article/H6051-1,07/11/2018,,164,116,H6051
"Text of Senate Amendment 1306; Congressional Record Vol. 163, No. 168",https://www.congress.gov/congressional-record/volume-163/issue-168/senate-section/article/S6575-8,10/18/2017,,163,168,S6575
"REMEMBERING RODGER McCONNELL; Congressional Record Vol. 162, No. 142",https://www.congress.gov/congressional-record/volume-162/issue-142/senate-section/article/S5906-2,09/20/2016,,162,142,S5906
"Text of Senate Amendment 1127; Congressional Record Vol. 161, No. 58",https://www.congress.gov/congressional-record/volume-161/issue-58/senate-section/article/S2308-1,04/21/2015,,161,58,S2308
"HONORING BARBARA MIKKELSEN; Congressional Record Vol. 157, No. 149",https://www.congress.gov/congressional-record/volume-157/issue-149/house-section/article/H6631-1,10/06/2011,,157,149,H6631
"ADELE O'TOOLE; Congressional Record Vol. 155, No. 169",https://www.congress.gov/congressional-record/volume-155/issue-169/extensions-of-remarks-section/article/E2763-1,11/16/2009,,155,169,E2763
"HONORING THE M&N AUGUSTINE FOUNDATION; Congressional Record Vol. 149, No. 124",https://www.congress.gov/congressional-record/volume-149/issue-124/house-section/article/H8090-5,09/10/2003,,149,124,H8090
"HONORING REVEREND THOMAS BOND; Congressional Record Vol. 149, No. 43",https://www.congress.gov/congressional-record/volume-149/issue-43/extensions-of-remarks-section/article/E505-3,03/18/2003,,149,43,E505
"REPORTS OF COMMITTEES ON PUBLIC BILLS AND RESOLUTIONS; Congressional Record Vol. 144, No. 19",https://www.congress.gov/congressional-record/volume-144/issue-19/house-section/article/H754-1,03/03/1998,,144,19,H754
"SUFFER THE LITTLE CHILDREN; Congressional Record Vol. 141, No. 55",https://www.congress.gov/congressional-record/volume-141/issue-55/house-section/article/H3739-1,03/24/1995,,141,55,H3739
,https://www.congress.gov/bound-congressional-record/1988/10/13/134/daily-digest/article/744-748,10/13/1988,,134,,744-748
"HONORING METRO TRANSIT POLICE OFFICER BEVERLY RODRIGUEZ; Congressional Record Vol. 171, No. 111",https://www.congress.gov/congressional-record/volume-171/issue-111/extensions-of-remarks-section/article/E632-2,06/27/2025,,171,111,E632
"RECOGNIZING ESSENTIAL LEGISLATION THAT SUPPORTS OUR NATION'S VETERANS; Congressional Record Vol. 171, No. 44",https://www.congress.gov/congressional-record/volume-171/issue-44/house-section/article/H1045-3,03/10/2025,,171,44,H1045
"60 YEARS OF THE PIONEER CENTER FOR HUMAN SERVICES; Congressional Record Vol. 164, No. 50",https://www.congress.gov/congressional-record/volume-164/issue-50/house-section/article/H2030-2,03/22/2018,,164,50,H2030
"HONORING MIRIAM STEINBERG; Congressional Record Vol. 163, No. 190",https://www.congress.gov/congressional-record/volume-163/issue-190/extensions-of-remarks-section/article/E1594-5,11/21/2017,,163,190,E1594
"CELEBRATING CAMILLUS HOUSE; Congressional Record Vol. 163, No. 109",https://www.congress.gov/congressional-record/volume-163/issue-109/house-section/article/H5167-5,06/26/2017,,163,109,H5167
"CONGRATULATING THE VERMONT CHRISTIAN CHURCH ON ITS 70TH ANNIVERSARY; Congressional Record Vol. 161, No. 141",https://www.congress.gov/congressional-record/volume-161/issue-141/extensions-of-remarks-section/article/E1379-5,09/29/2015,,161,141,E1379
"THE AMOS HOUSE; Congressional Record Vol. 160, No. 146",https://www.congress.gov/congressional-record/volume-160/issue-146/house-section/article/H8287-1,12/03/2014,,160,146,H8287
"PAYING TRIBUTE TO FRIENDS IN THE DESERT; Congressional Record Vol. 152, No. 48",https://www.congress.gov/congressional-record/volume-152/issue-48/extensions-of-remarks-section/article/E635-5,04/27/2006,,152,48,E635
"RECOGNIZING GUEST CHAPLAIN REVEREND ANTHONY MARCIANO; Congressional Record Vol. 151, No. 120",https://www.congress.gov/congressional-record/volume-151/issue-120/extensions-of-remarks-section/article/E1934-5,09/22/2005,,151,120,E1934
"20TH ANNIVERSARY OF THE BROTHER BENNO FOUNDATION; Congressional Record Vol. 149, No. 155",https://www.congress.gov/congressional-record/volume-149/issue-155/extensions-of-remarks-section/article/E2161-2,10/30/2003,,149,155,E2161
"RELIEF FOR DISASTER VICTIMS; Congressional Record Vol. 143, No. 75",https://www.congress.gov/congressional-record/volume-143/issue-75/house-section/article/H3281-2,06/04/1997,,143,75,H3281
,https://www.congress.gov/bound-congressional-record/1994/09/22/140/extensions-of-remarks-section/article/25520-25533,09/22/1994,,140,,25520-25533
"IN HONOR OF STAND DOWN OF SOUTH JERSEY VOLUNTEERS; Congressional Record Vol. 158, No. 153",https://www.congress.gov/congressional-record/volume-158/issue-153/extensions-of-remarks-section/article/E1864-1,12/03/2012,,158,153,E1864
"RECOGNIZING THE 125TH ANNIVERSARY OF THE SYRACUSE RESCUE MISSION; Congressional Record Vol. 158, No. 33",https://www.congress.gov/congressional-record/volume-158/issue-33/extensions-of-remarks-section/article/E305-2,03/01/2012,,158,33,E305
"LETTER OF COMMENDATION FOR MR. WILLARD ``SMITTY'' SMITH, USN (RET.); Congressional Record Vol. 157, No. 101",https://www.congress.gov/congressional-record/volume-157/issue-101/extensions-of-remarks-section/article/E1267-2,07/08/2011,,157,101,E1267
"HONORING CARMEN CARRASQUILLO; Congressional Record Vol. 166, No. 39",https://www.congress.gov/congressional-record/volume-166/issue-39/house-section/article/H1246-1,02/27/2020,,166,39,H1246
"Text of Senate Amendment 6185; Congressional Record Vol. 168, No. 158",https://www.congress.gov/congressional-record/volume-168/issue-158/senate-section/article/S5714-1,09/29/2022,,168,158,S5714
"Text of Senate Amendment 3987; Congressional Record Vol. 167, No. 190",https://www.congress.gov/congressional-record/volume-167/issue-190/senate-section/article/S7492-2,10/28/2021,,167,190,S7492
"Text of Senate Amendment 1973; Congressional Record Vol. 166, No. 117",https://www.congress.gov/congressional-record/volume-166/issue-117/senate-section/article/S3459-2,06/25/2020,,166,117,S3459
"Daily Digest/Senate Committee Meetings; Congressional Record Vol. 156, No. 77",https://www.congress.gov/congressional-record/volume-156/issue-77/daily-digest/article/D573-1,05/20/2010,,156,77,D573
"STATEMENT ON VETERAN'S LEGISLATION; Congressional Record Vol. 154, No. 84",https://www.congress.gov/congressional-record/volume-154/issue-84/extensions-of-remarks-section/article/E1002-2,05/21/2008,,154,84,E1002
"THE CARE ACT; Congressional Record Vol. 149, No. 158",https://www.congress.gov/congressional-record/volume-149/issue-158/senate-section/article/S13897-1,11/04/2003,,149,158,S13897
"JACKIE EBRON; Congressional Record Vol. 145, No. 51",https://www.congress.gov/congressional-record/volume-145/issue-51/senate-section/article/S3717-1,04/14/1999,,145,51,S3717
"UNHOUSED TRAGEDY; Congressional Record Vol. 171, No. 30",https://www.congress.gov/congressional-record/volume-171/issue-30/house-section/article/H691-3,02/13/2025,,171,30,H691
"UNEMPLOYMENT BENEFITS; Congressional Record Vol. 159, No. 176",https://www.congress.gov/congressional-record/volume-159/issue-176/house-section/article/H8088-3,12/12/2013,,159,176,H8088
"COMMEMORATING THE 50TH ANNIVERSARY OF PROJECT HEAD START; Congressional Record Vol. 161, No. 79",https://www.congress.gov/congressional-record/volume-161/issue-79/extensions-of-remarks-section/article/E774-2,05/21/2015,,161,79,E774
"IN RECOGNITION AND APPRECIATION OF MR. KENT HILL, DIRECTOR OF THE KANSAS CITY VA MEDICAL CENTER FOR 40 YEARS OF SERVICE TO OUR COUNTRY AND CONSUMMATE DEDICATION TO OUR VETERANS; Congressional Record Vol. 160, No. 137",https://www.congress.gov/congressional-record/volume-160/issue-137/extensions-of-remarks-section/article/E1549-2,11/12/2014,,160,137,E1549
"THE BIG PICTURE; Congressional Record Vol. 157, No. 35",https://www.congress.gov/congressional-record/volume-157/issue-35/senate-section/article/S1491-2,03/09/2011,,157,35,S1491
"HONORING PATRICK RYAN ON HIS RETIREMENT FROM THE HOUSE COMMITTEE ON VETERANS' AFFAIRS; Congressional Record Vol. 150, No. 135",https://www.congress.gov/congressional-record/volume-150/issue-135/extensions-of-remarks-section/article/E2074-2,11/20/2004,,150,135,E2074
"JESSE BROWN WILL NOT BE SILENCED; Congressional Record Vol. 141, No. 184",https://www.congress.gov/congressional-record/volume-141/issue-184/senate-section/article/S17421-6,11/18/1995,,141,184,S17421
,https://www.congress.gov/bound-congressional-record/1990/05/09/136/senate-section/article/9734-9821,05/09/1990,,136,,9734-9821
"TEXT OF AMENDMENTS; Congressional Record Vol. 158, No. 108",https://www.congress.gov/congressional-record/volume-158/issue-108/senate-section/article/S5139-2,07/18/2012,,158,108,S5139
"HONORING TEXAS-24 HOMETOWN HEROES BENNETT BRANDON AND HENRY; Congressional Record Vol. 171, No. 6",https://www.congress.gov/congressional-record/volume-171/issue-6/extensions-of-remarks-section/article/E18-2,01/13/2025,,171,6,E18
"RECOGNIZING MARY MARGARET BUTLER; Congressional Record Vol. 167, No. 52",https://www.congress.gov/congressional-record/volume-167/issue-52/house-section/article/H1604-4,03/19/2021,,167,52,H1604
"TRIBUTE TO THE LIFE OF DUANE CHAPMAN; Congressional Record Vol. 164, No. 201",https://www.congress.gov/congressional-record/volume-164/issue-201/extensions-of-remarks-section/article/E1716-1,12/20/2018,,164,201,E1716
"2017 CONTINUED APPROPRIATIONS; Congressional Record Vol. 163, No. 76",https://www.congress.gov/congressional-record/volume-163/issue-76/house-section/article/H3310-5,05/03/2017,,163,76,H3310
"RECOGNIZING THE JOURNEY HOME; Congressional Record Vol. 160, No. 53",https://www.congress.gov/congressional-record/volume-160/issue-53/extensions-of-remarks-section/article/E493-1,04/02/2014,,160,53,E493
"RECOGNIZING THE RETIREMENT OF JOHN RECORDS; Congressional Record Vol. 159, No. 85",https://www.congress.gov/congressional-record/volume-159/issue-85/extensions-of-remarks-section/article/E868-3,06/14/2013,,159,85,E868
"A TRIBUTE TO ALL OUR VETERANS; Congressional Record Vol. 156, No. 83",https://www.congress.gov/congressional-record/volume-156/issue-83/house-section/article/H4087-7,05/28/2010,,156,83,H4087
"RECOGNIZING THE NIGHT MINISTRY; Congressional Record Vol. 155, No. 139",https://www.congress.gov/congressional-record/volume-155/issue-139/extensions-of-remarks-section/article/E2403-2,09/30/2009,,155,139,E2403
"HONORING KALAMAZOO GOSPEL MISSION OF KALAMAZOO; Congressional Record Vol. 154, No. 117",https://www.congress.gov/congressional-record/volume-154/issue-117/extensions-of-remarks-section/article/E1477-1,07/16/2008,,154,117,E1477
"IN HONOR OF ANDREW SAAVEDRA; Congressional Record Vol. 153, No. 54",https://www.congress.gov/congressional-record/volume-153/issue-54/extensions-of-remarks-section/article/E654-1,03/28/2007,,153,54,E654
"Text of Senate Amendment 3753; Congressional Record Vol. 152, No. 49",https://www.congress.gov/congressional-record/volume-152/issue-49/senate-section/article/S3812-4,05/01/2006,,152,49,S3812
"HONORING DR. LOUISE R. D'OLIVEIRA; Congressional Record Vol. 149, No. 121",https://www.congress.gov/congressional-record/volume-149/issue-121/extensions-of-remarks-section/article/E1723-2,09/05/2003,,149,121,E1723
"IN HONOR OF ERIC DELUCIEN AND NEW DIRECTIONS, INC.; Congressional Record Vol. 144, No. 142",https://www.congress.gov/congressional-record/volume-144/issue-142/extensions-of-remarks-section/article/E2013-1,10/10/1998,,144,142,E2013
"DODGE DEVELOPMENT CENTER; Congressional Record Vol. 144, No. 134",https://www.congress.gov/congressional-record/volume-144/issue-134/senate-section/article/S11188-2,09/30/1998,,144,134,S11188
"HONORING CHAD MASCOE AS A DISTINGUISHED LEADER IN CENTRAL FLORIDA FOR CARIBBEAN HERITAGE MONTH; Congressional Record Vol. 169, No. 112",https://www.congress.gov/congressional-record/volume-169/issue-112/extensions-of-remarks-section/article/E621-3,06/27/2023,,169,112,E621
"HONORING AND RECOGNIZING THE YOUTHNETWORK CRISIS SHELTER; Congressional Record Vol. 150, No. 105",https://www.congress.gov/congressional-record/volume-150/issue-105/extensions-of-remarks-section/article/E1562-3,09/08/2004,,150,105,E1562
"RECOGNITION OF MS. SUE DILLON, FOUNDER AND PRESIDENT OF TAIL'S END FARM ANIMAL RESCUE; Congressional Record Vol. 146, No. 112",https://www.congress.gov/congressional-record/volume-146/issue-112/senate-section/article/S8819-2,09/20/2000,,146,112,S8819
"TRIBUTE TO THE LATE JUDGE C. CLYDE ATKINS; Congressional Record Vol. 145, No. 41",https://www.congress.gov/congressional-record/volume-145/issue-41/extensions-of-remarks-section/article/E447-2,03/16/1999,,145,41,E447
,https://www.congress.gov/bound-congressional-record/1987/02/24/133/daily-digest/article/76-82,02/24/1987,,133,,76-82
"HONORING CORPORAL ADRIAN MALDONADO, DEPUTY JAMES MACKEY, DEPUTY JASON COKER, DEPUTY TAMMY FOX, AND DEPUTY YANICK EXCEUS; Congressional Record Vol. 170, No. 179",https://www.congress.gov/congressional-record/volume-170/issue-179/extensions-of-remarks-section/article/E1218-3,12/04/2024,,170,179,E1218
"STATEMENTS ON INTRODUCED BILLS AND JOINT RESOLUTIONS; Congressional Record Vol. 146, No. 100",https://www.congress.gov/congressional-record/volume-146/issue-100/senate-section/article/S7841-1,07/27/2000,,146,100,S7841
"CONFERENCE REPORT ON H.R. 2099, DEPARTMENTS OF VETERANS AFFAIRS AND HOUSING AND URBAN DEVELOPMENT, AND INDEPENDENT AGENCIES APPROPRIATIONS ACT, 1996; Congressional Record Vol. 141, No. 199",https://www.congress.gov/congressional-record/volume-141/issue-199/extensions-of-remarks-section/article/E2370-2,12/14/1995,,141,199,E2370
"HONORING THE 2020 WOMEN OF THE YEAR; Congressional Record Vol. 166, No. 194",https://www.congress.gov/congressional-record/volume-166/issue-194/extensions-of-remarks-section/article/E1027-3,11/16/2020,,166,194,E1027
"MESSAGE FROM THE HOUSE; Congressional Record Vol. 161, No. 13",https://www.congress.gov/congressional-record/volume-161/issue-13/senate-section/article/S541-1,01/27/2015,,161,13,S541
"THE JEFFERSON CENTER; Congressional Record Vol. 165, No. 75",https://www.congress.gov/congressional-record/volume-165/issue-75/extensions-of-remarks-section/article/E547-1,05/07/2019,,165,75,E547
"RECOGNIZING SERGEANT VINCENT SCALISE; Congressional Record Vol. 163, No. 201",https://www.congress.gov/congressional-record/volume-163/issue-201/house-section/article/H9780-4,12/11/2017,,163,201,H9780
"Text of Senate Amendment 1860; Congressional Record Vol. 163, No. 196",https://www.congress.gov/congressional-record/volume-163/issue-196/senate-section/article/S7805-5,12/01/2017,,163,196,S7805
"RECOGNIZING MRS. LYNN JEWELL; Congressional Record Vol. 163, No. 180",https://www.congress.gov/congressional-record/volume-163/issue-180/extensions-of-remarks-section/article/E1508-5,11/06/2017,,163,180,E1508
"Text of Senate Amendment 2374; Congressional Record Vol. 155, No. 130",https://www.congress.gov/congressional-record/volume-155/issue-130/senate-section/article/S9382-6,09/15/2009,,155,130,S9382
"ANNOUNCING INTRODUCTION OF THE SHIELD ACT; Congressional Record Vol. 151, No. 75",https://www.congress.gov/congressional-record/volume-151/issue-75/house-section/article/H4193-6,06/08/2005,,151,75,H4193
"IN RECOGNITION OF THE DUFFY HEALTH CENTER; Congressional Record Vol. 163, No. 180",https://www.congress.gov/congressional-record/volume-163/issue-180/extensions-of-remarks-section/article/E1509-1,11/06/2017,,163,180,E1509
"RHODE ISLAND HOUSING; Congressional Record Vol. 160, No. 100",https://www.congress.gov/congressional-record/volume-160/issue-100/house-section/article/H5733-5,06/25/2014,,160,100,H5733
"IN RECOGNITION OF SISTER KATHLEEN KILBANE; Congressional Record Vol. 158, No. 32",https://www.congress.gov/congressional-record/volume-158/issue-32/extensions-of-remarks-section/article/E281-4,02/29/2012,,158,32,E281
